"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
StateController,package:riverpod/src/state_controller.dart,1,48,48,0,0,0,0,0,1,48,48,0
StateNotifierProvider,package:riverpod/src/state_notifier_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
StateProvider,package:riverpod/src/state_provider.dart,1,48,48,0,0,0,0,0,1,48,48,0
ProviderScopeState,package:flutter_riverpod/src/framework.dart,1,48,48,0,0,0,0,0,1,48,48,0
_PieChartState,package:fl_chart/src/chart/pie_chart/pie_chart.dart,1,48,48,0,0,0,0,0,1,48,48,0
NativeDatabase,package:drift/native.dart,1,48,48,0,0,0,0,0,1,48,48,0
Where,package:drift/src/runtime/query_builder/query_builder.dart,3,48,48,0,0,0,0,0,3,48,48,0
_MyAppState,package:expense_app_new/main.dart,1,32,32,0,0,0,0,0,1,32,32,0
ThemeState,package:expense_app_new/providers/theme_provider.dart,2,32,32,0,0,0,0,0,2,32,32,0
_SalaryOverviewCard,package:expense_app_new/screens/dashboard_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_SpendingBreakdown,package:expense_app_new/screens/dashboard_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_SpendingBreakdownState,package:expense_app_new/screens/dashboard_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_RecentExpenses,package:expense_app_new/screens/dashboard_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_WellnessScoreCard,package:expense_app_new/screens/dashboard_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
AuthService,package:expense_app_new/services/auth_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
FfiBindings,package:sqlite3/src/ffi/bindings.dart,1,32,32,0,0,0,0,0,1,32,32,0
ProviderScope,package:flutter_riverpod/src/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
UncontrolledProviderScope,package:flutter_riverpod/src/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
InitializationSettings,package:flutter_local_notifications/src/initialization_settings.dart,1,32,32,0,0,0,0,0,1,32,32,0
AndroidNotificationSoundSource,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,2,32,32,0,0,0,0,0,2,32,32,0
Importance,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
AudioAttributesUsage,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,32,32,0,0,0,0,0,1,32,32,0
PieChartDataTween,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,1,32,32,0,0,0,0,0,1,32,32,0
